,threshold,year,min_temp,occurance_rate
62,0.3,2008,-24,6.5385237561777245
63,0.3,2008,-18,3.888364852474588
64,0.3,2008,-12,1.2642445280860166
65,0.3,2008,-6,0.00015152364602258005
66,0.3,2009,-36,17.7853455588486
67,0.3,2009,-30,10.318713090441461
68,0.3,2009,-24,6.146662311438413
69,0.3,2009,-18,3.7458834831573604
70,0.3,2009,-12,1.2611765073789054
71,0.3,2009,-6,0.0001524504116923368
72,0.3,2010,-36,18.727311325761598
73,0.3,2010,-30,11.198768937341512
74,0.3,2010,-24,6.6599836537115555
75,0.3,2010,-18,4.1662586323735065
76,0.3,2010,-12,1.408342862450592
77,0.3,2010,-6,0.00029664435901086904
78,0.3,2011,-36,18.590368920519467
79,0.3,2011,-30,11.791013778681716
80,0.3,2011,-24,7.156040105999962
81,0.3,2011,-18,4.492976854204899
82,0.3,2011,-12,1.6343331984767628
83,0.3,2011,-6,0.00014307993876178622
84,0.3,2012,-36,18.840362139126917
85,0.3,2012,-30,11.710054430984744
86,0.3,2012,-24,7.127416254570136
87,0.3,2012,-18,4.3163278793183855
88,0.3,2012,-12,1.477606042645025
89,0.3,2012,-6,0.00030623556864882743
90,0.3,2013,-36,18.24809698917421
91,0.3,2013,-30,10.565717265179641
92,0.3,2013,-24,6.180087255454915
93,0.3,2013,-18,3.7470284575675277
94,0.3,2013,-12,1.282505856824022
95,0.3,2013,-6,0.00015077725675859054
96,0.3,2014,-36,17.86472902594892
97,0.3,2014,-30,10.365261354423215
98,0.3,2014,-24,5.9818379518476394
99,0.3,2014,-18,3.6233728970414103
100,0.3,2014,-12,1.1351540746364135
101,0.3,2014,-6,0.00015613143768950454
102,0.3,2015,-36,17.82489484478743
103,0.3,2015,-30,10.152554432370149
104,0.3,2015,-24,5.856108205144078
105,0.3,2015,-18,3.6219378417748196
106,0.3,2015,-12,1.2558995173818466
107,0.3,2015,-6,0.0
108,0.4,2007,-36,10.483330466604587
109,0.4,2007,-30,6.0892841199865915
110,0.4,2007,-24,3.53718303856808
111,0.4,2007,-18,2.160975007744753
112,0.4,2007,-12,0.6711367165771902
113,0.4,2007,-6,0.0
114,0.4,2008,-36,10.342348109030779
115,0.4,2008,-30,6.179661443929047
116,0.4,2008,-24,3.6471443754544945
117,0.4,2008,-18,2.204866722515023
118,0.4,2008,-12,0.6451235446691499
119,0.4,2008,-6,0.0
120,0.4,2009,-36,10.121308027816434
121,0.4,2009,-30,5.849524043940991
122,0.4,2009,-24,3.450528566338045
123,0.4,2009,-18,2.1347802762226853
124,0.4,2009,-12,0.6539771557531487
125,0.4,2009,-6,0.0
126,0.4,2010,-36,10.648338817535294
127,0.4,2010,-30,6.3402616730603905
128,0.4,2010,-24,3.7283385337409367
129,0.4,2010,-18,2.366076616436013
130,0.4,2010,-12,0.7049245557506706
131,0.4,2010,-6,0.0
132,0.4,2011,-36,10.623724465816206
133,0.4,2011,-30,6.743604801054169
134,0.4,2011,-24,4.062736008556264
135,0.4,2011,-18,2.6539356387305704
136,0.4,2011,-12,0.8808060569865337
137,0.4,2011,-6,0.0
138,0.4,2012,-36,10.609363334113977
139,0.4,2012,-30,6.5956737166769255
140,0.4,2012,-24,3.9856436405947884
141,0.4,2012,-18,2.484980884762425
142,0.4,2012,-12,0.7564704630769464
143,0.4,2012,-6,0.0
144,0.4,2013,-36,10.357735133854536
145,0.4,2013,-30,5.946823518743603
146,0.4,2013,-24,3.446865951668771
147,0.4,2013,-18,2.135151006926547
148,0.4,2013,-12,0.6273925303413784
149,0.4,2013,-6,0.0
150,0.4,2014,-36,10.280184667166996
151,0.4,2014,-30,5.845673157822276
152,0.4,2014,-24,3.291071704365163
153,0.4,2014,-18,2.0397469108112514
154,0.4,2014,-12,0.5344633998083523
155,0.4,2014,-6,0.0
156,0.4,2015,-36,10.25632669378107
157,0.4,2015,-30,5.874904991960499
158,0.4,2015,-24,3.2791172738246313
159,0.4,2015,-18,2.063932056229895
160,0.4,2015,-12,0.6382068930607155
161,0.4,2015,-6,0.0
162,0.5,2007,-36,6.099212539269241
163,0.5,2007,-30,3.6423177282934067
164,0.5,2007,-24,2.098235641924072
165,0.5,2007,-18,1.3056520326513752
166,0.5,2007,-12,0.31889376332394526
167,0.5,2007,-6,0.0
168,0.5,2008,-36,6.031471702139009
169,0.5,2008,-30,3.6471539639684045
170,0.5,2008,-24,2.128206407447891
171,0.5,2008,-18,1.306059986411699
172,0.5,2008,-12,0.3089104276771262
173,0.5,2008,-6,0.0
174,0.5,2009,-36,5.863808976669619
175,0.5,2009,-30,3.4261345090883797
176,0.5,2009,-24,2.0342380330205487
177,0.5,2009,-18,1.2897440482639166
178,0.5,2009,-12,0.32014781264903097
179,0.5,2009,-6,0.0
180,0.5,2010,-36,6.052011463751194
181,0.5,2010,-30,3.7067339994364854
182,0.5,2010,-24,2.1962126582888173
183,0.5,2010,-18,1.4180007755915844
184,0.5,2010,-12,0.34116540999471556
185,0.5,2010,-6,0.0
186,0.5,2011,-36,6.1722798874501015
187,0.5,2011,-30,4.002370448881377
188,0.5,2011,-24,2.4159828159703034
189,0.5,2011,-18,1.6455668372500256
190,0.5,2011,-12,0.4563289472839244
191,0.5,2011,-6,0.0
192,0.5,2012,-36,6.034184236179084
193,0.5,2012,-30,3.860370598328216
194,0.5,2012,-24,2.3431038711406944
195,0.5,2012,-18,1.498046081064568
196,0.5,2012,-12,0.36917987608727587
197,0.5,2012,-6,0.0
198,0.5,2013,-36,5.885685444413543
199,0.5,2013,-30,3.452094257728237
200,0.5,2013,-24,2.013052070540917
201,0.5,2013,-18,1.2810649597767914
202,0.5,2013,-12,0.2852018654161794
203,0.5,2013,-6,0.0
204,0.5,2014,-36,5.956198403493211
205,0.5,2014,-30,3.3900735800278414
206,0.5,2014,-24,1.8800106707103044
207,0.5,2014,-18,1.194050760628116
208,0.5,2014,-12,0.2418158218154502
209,0.5,2014,-6,0.0
210,0.5,2015,-36,6.022525810824904
211,0.5,2015,-30,3.505073009126374
212,0.5,2015,-24,1.9616825033272463
213,0.5,2015,-18,1.2366018778994654
214,0.5,2015,-12,0.3034513259011292
215,0.5,2015,-6,0.0
